"n","p_setting","p_rel_friend","p_rel_auth","p_stakes","p_q1q2","r_retest","icc_reword","scenario"
20,0.00307869670406333,0.0116709421475487,0.192007756031439,0.0211724020431463,3.25203099044584e-08,0.957305590863221,0.622629420937185,"medium"
20,0.0548981022425062,0.00429880064998506,0.532987743686074,0.0338841903243801,2.7461492671213e-06,0.961667782918016,0.735453634566121,"medium"
20,0.0172555551424929,0.0186048208657777,0.861960499456209,0.647115389808107,2.15864063750551e-07,0.943083367881156,0.557325531096905,"medium"
20,0.0514699457490076,0.0021336500727253,0.82245291602562,0.0238474574942317,3.01933896852924e-08,0.969641029510972,0.654633087824812,"medium"
20,0.52014780242857,0.0027953514172014,0.415880131024766,0.0179826184609207,2.86156138935013e-08,0.938366928170799,0.682028836569444,"medium"
20,0.784033519815618,0.00036717629305668,0.193386495770099,0.228524309919699,3.39362089847062e-09,0.964741535993448,0.66476657086316,"medium"
20,0.0223040997460202,0.00317319881566897,0.332868468991213,0.235443061371875,0.000256712898950861,0.952643961654434,0.631123059445127,"medium"
20,0.0475426486147067,0.730810169484316,0.266723586230452,0.366308857708364,2.1862366520921e-08,0.945360900041594,0.631994261209318,"medium"
20,0.41718533002659,0.094155252202289,0.0442647920063637,0.0248446725726371,1.06604116323739e-06,0.924379782838725,0.522212910648898,"medium"
20,0.0702635098407783,0.0141179023490446,0.197057970834919,0.526147315317911,9.6298253366582e-07,0.939104351537834,0.736320379271872,"medium"
20,0.231476169355118,0.250661250899488,0.0338770436949813,0.843521395479245,4.93997342768053e-07,0.949263837699477,0.568657127221367,"medium"
20,0.152247055059689,0.0859892747946064,0.0791339303418536,0.895012199603094,1.88468679339423e-06,0.958874910716359,0.746215496123596,"medium"
20,0.014853858201457,0.00956074288262335,0.0157019467612247,0.0253307229941717,3.59472405839722e-05,0.953445081066647,0.730014689021361,"medium"
20,0.00557263801703967,0.752897905049109,0.307606487705239,0.300438277617288,3.07764569518532e-08,0.96538719167415,0.65447932642427,"medium"
20,0.554874759616613,0.0138776778711513,0.182016033138396,0.484190878779879,7.66888677880944e-06,0.969467641524983,0.557139051780578,"medium"
20,0.406571402630337,0.00365288997912464,0.946461157723626,0.780670880245162,5.59956817168999e-10,0.956323303096483,0.760504211141467,"medium"
20,0.0197520070248641,0.700165702559963,0.256208952837833,0.126428054100873,1.66115554987249e-06,0.910697178258368,0.683559362500586,"medium"
20,0.387986891696753,0.0113594115392657,0.502022523114132,0.183842439614643,1.27721748993267e-06,0.937734650220627,0.664640127444076,"medium"
20,0.000707833594468102,0.818271642365029,0.0929003601455396,0.00281976343189527,2.1483255555937e-07,0.922712818063824,0.650392551947104,"medium"
20,0.010627448596285,3.85726734519664e-05,0.519577996432407,0.0400551371250358,2.99191217188172e-06,0.953977028309332,0.62961011414408,"medium"
20,0.00817318063616986,0.206384456605492,0.027475630154489,0.223984029263663,6.07896821992005e-07,0.965791891097427,0.851372492426562,"medium"
20,0.210343321023811,0.346121156332349,0.523186535899379,0.450442822908132,1.51768291443069e-09,0.962395796816436,0.559386970541573,"medium"
20,0.00248780883170444,0.148931017088233,0.587598477922228,0.739807669998387,4.61654936585562e-05,0.961474589975157,0.760906040325634,"medium"
20,0.387055324592277,0.00264349369341634,0.296584846075269,0.117807723761823,3.09926456695712e-07,0.943190622572266,0.648075749759228,"medium"
20,0.00603116109211188,0.00713971312241442,0.898286522099154,0.183030389790608,8.74616256146265e-08,0.940067789645362,0.580301455906628,"medium"
20,0.0564389289179769,0.270475512438144,0.205389809528101,0.852881580034673,5.67451119675552e-06,0.930883245886929,0.426620076381676,"medium"
20,0.541818788241682,0.00735108296479189,0.729010397452214,0.00267748501498873,1.36926091829289e-09,0.947319168920471,0.672349230467884,"medium"
20,0.0353300450288006,0.00260437221591383,0.0682689384429192,0.0771292358583559,9.40843155533262e-08,0.942726243737429,0.685104619986832,"medium"
20,0.219338309813513,0.00116757281481388,0.954313449919167,0.095668685164745,2.8647969071369e-07,0.939756458373532,0.777319753989467,"medium"
